Unnamed: 0,ROI,Yeo_Network,Yeo_Index,hist_g2_value,SC_pos_coefs,SC_neg_coefs
0.0,Precentral_L,SomMot,2.0,-0.252527,0.0206957199743962,-0.012200152926209
1.0,Precentral_R,SomMot,2.0,-0.27582,0.0195449135684113,-0.0103313243139971
2.0,Frontal_Sup_L,Default,7.0,0.0262288,0.0197574741329559,-0.0088047405801179
3.0,Frontal_Sup_R,Default,7.0,0.0356533,0.0258956593549728,-0.0071598720391186
4.0,Frontal_Sup_Orb_L,Limbic,5.0,0.241026,0.0087203529647231,-0.0058978360062958
5.0,Frontal_Sup_Orb_R,Limbic,5.0,0.26085,0.0058662600778041,-0.0034190515565984
6.0,Frontal_Mid_L,Control,6.0,-0.0243528,0.0292909506155576,-0.0043719062578123
7.0,Frontal_Mid_R,Control,6.0,-0.0532717,0.0216648677919499,-0.0102534389419053
8.0,Frontal_Mid_Orb_L,Control,6.0,0.131386,0.0089526880932696,-0.0030110061150169
9.0,Frontal_Mid_Orb_R,Control,6.0,0.124655,0.0092565256398363,-0.0047524431186993
10.0,Frontal_Inf_Oper_L,SalVentAttn,4.0,-0.102025,0.0141507180943717,-0.0107174783227803
11.0,Frontal_Inf_Oper_R,SalVentAttn,4.0,-0.0712346,0.0206197986469667,-0.0118513253774354
12.0,Frontal_Inf_Tri_L,Control,6.0,-0.0105038,0.0107295646925876,-0.0144963685853368
13.0,Frontal_Inf_Tri_R,Control,6.0,0.00813057,0.0163603878769673,-0.0068246709788127
14.0,Frontal_Inf_Orb_L,Default,7.0,-0.00752688,0.0153963384977551,-0.0041086368727603
15.0,Frontal_Inf_Orb_R,Default,7.0,0.0526184,0.0100951012167855,-0.0026227900091908
16.0,Rolandic_Oper_L,SomMot,2.0,-0.0699597,0.0171553862160997,-0.0095888257676579
17.0,Rolandic_Oper_R,SomMot,2.0,-0.0229536,0.0258566388963268,-0.008118377451775
18.0,Supp_Motor_Area_L,SomMot,2.0,-0.204303,0.0208215815980046,-0.006644312996319
19.0,Supp_Motor_Area_R,SomMot,2.0,-0.25124,0.015169841033022,-0.0073034582805369
20.0,Olfactory_L,Subcortex,8.0,0.272807,0.0068754021430542,-0.0058046232776328
21.0,Olfactory_R,Subcortex,8.0,0.348359,0.0088822674646887,-0.0036559414423669
22.0,Frontal_Sup_Medial_L,Default,7.0,0.134695,0.0116436025046096,-0.0081503919103951
23.0,Frontal_Sup_Medial_R,Default,7.0,0.101903,0.0133708205156632,-0.0051369179498592
24.0,Frontal_Med_Orb_L,Default,7.0,0.266983,0.0074575776037692,-0.0022690104708813
25.0,Frontal_Med_Orb_R,Default,7.0,0.255624,0.0036240624541884,-0.0077830248369724
26.0,Rectus_L,Limbic,5.0,0.357943,0.0035623581634821,-0.0040427271367291
27.0,Rectus_R,Limbic,5.0,0.386244,0.0055802943239769,-0.0050176101729098
28.0,Insula_L,SalVentAttn,4.0,0.055607,0.0380740880635548,-0.0031484317476445
29.0,Insula_R,SalVentAttn,4.0,0.0713641,0.0321062650465908,-0.008898657683935
30.0,Cingulum_Ant_L,Default,7.0,0.121803,0.0131103410982586,-0.0114918337171317
31.0,Cingulum_Ant_R,Default,7.0,0.191628,0.0217883357174559,-0.0062755902572798
32.0,Cingulum_Mid_L,Default,7.0,0.00923368,0.0389952524989546,-0.0083180868283257
33.0,Cingulum_Mid_R,SalVentAttn,4.0,-0.0438553,0.0297529253169548,-0.0075809301659073
34.0,Cingulum_Post_L,Default,7.0,-0.0683547,0.0311690957815803,-0.0035780669464238
35.0,Cingulum_Post_R,Default,7.0,-0.080374,0.0201103438558806,-0.0068243474704604
36.0,Hippocampus_L,Subcortex,8.0,0.264563,0.0208619987688011,-0.010638001467761
37.0,Hippocampus_R,Subcortex,8.0,0.228782,0.0224812201314207,-0.0120965681579268
38.0,ParaHippocampal_L,Limbic,5.0,0.309207,0.0212877903287433,-0.0070700585597566
39.0,ParaHippocampal_R,Limbic,5.0,0.394873,0.0169087473586389,-0.0071324909264992
40.0,Amygdala_L,Subcortex,8.0,0.293274,0.0119683480859718,-0.0076877358019839
41.0,Amygdala_R,Subcortex,8.0,0.237555,0.0084533799935315,-0.0110477194271439
42.0,Calcarine_L,Visual,1.0,-0.342774,0.0125337249500089,-0.0102280901550541
43.0,Calcarine_R,Visual,1.0,-0.352656,0.0106663211187987,-0.0092014141769098
44.0,Cuneus_L,Visual,1.0,-0.342567,0.0173090178043729,-0.005792918054129
45.0,Cuneus_R,Visual,1.0,-0.293172,0.0102956842037482,-0.0112903921644211
46.0,Lingual_L,Visual,1.0,-0.0626755,0.0180663940547758,-0.0056612691452886
47.0,Lingual_R,Visual,1.0,-0.157892,0.0138940063731595,-0.0050096917667261
48.0,Occipital_Sup_L,Visual,1.0,-0.277223,0.0144111411774681,-0.009280928731459
49.0,Occipital_Sup_R,Visual,1.0,-0.368264,0.0162090248283442,-0.0075354761671119
50.0,Occipital_Mid_L,Visual,1.0,-0.123492,0.0131415894667278,-0.010985392677979
51.0,Occipital_Mid_R,Visual,1.0,-0.246503,0.0171623460300036,-0.0054372925579947
52.0,Occipital_Inf_L,Visual,1.0,-0.113959,0.0166104056249526,-0.0055628103853477
53.0,Occipital_Inf_R,Visual,1.0,-0.290925,0.0214218605617809,-0.0030207496187532
54.0,Fusiform_L,Visual,1.0,0.194497,0.0256795481965238,-0.0047415757943241
55.0,Fusiform_R,Visual,1.0,0.14811,0.011184777629539,-0.0123453730010683
56.0,Postcentral_L,SomMot,2.0,-0.195907,0.0187620705271597,-0.0072653021761126
57.0,Postcentral_R,SomMot,2.0,-0.180722,0.0244008678393879,-0.0058026928933772
58.0,Parietal_Sup_L,DorsAttn,3.0,-0.0968148,0.018244078156037,-0.0087253578346019
59.0,Parietal_Sup_R,DorsAttn,3.0,-0.0924135,0.0222340301555102,-0.0102326574584139
60.0,Parietal_Inf_L,Control,6.0,-0.104041,0.0259158812691773,-0.0065820837852339
61.0,Parietal_Inf_R,DorsAttn,3.0,-0.0471231,0.0226072199063186,-0.0086083975101741
62.0,SupraMarginal_L,DorsAttn,3.0,0.0947953,0.0175627878490441,-0.0072745966466312
63.0,SupraMarginal_R,SalVentAttn,4.0,0.0913658,0.0217597536116129,-0.0108199305892424
64.0,Angular_L,Default,7.0,-0.0185315,0.0180412186164408,-0.0111600646120335
65.0,Angular_R,Default,7.0,-0.0225046,0.0182360332924558,-0.0096354248219394
66.0,Precuneus_L,Default,7.0,0.00802713,0.0276584680090755,-0.0054876381282956
67.0,Precuneus_R,Default,7.0,0.00612811,0.0399489641033469,-0.0063484175851321
68.0,Paracentral_Lobule_L,SomMot,2.0,-0.132279,0.0087335064945431,-0.0138595545565221
69.0,Paracentral_Lobule_R,SomMot,2.0,-0.146459,0.0130273672639319,-0.0098199254131226
70.0,Caudate_L,Subcortex,8.0,-0.5,0.0311994600051649,-0.005901399448885
71.0,Caudate_R,Subcortex,8.0,-0.5,0.0256028848173826,-0.0087609837088515
72.0,Putamen_L,Subcortex,8.0,-0.5,0.0206425616668505,-0.0118959602311201
73.0,Putamen_R,Subcortex,8.0,-0.5,0.0210416028481837,-0.0164483145656758
74.0,Pallidum_L,Subcortex,8.0,-0.5,0.0273368987605189,-0.0072416677920563
75.0,Pallidum_R,Subcortex,8.0,-0.5,0.0275796603677011,-0.0085933801752416
